email,day_of_week,start_time,end_time
,monday,12,9
,thursday,11,14
,thursday,12,18
,monday,14,12
,thursday,11,20
,sunday,16,10
,friday,20,11
,tuesday,16,10
,monday,10,20
,tuesday,17,20
,saturday,16,20
,wednesday,11,12
,thursday,12,9
,sunday,11,13
,wednesday,14,11
,tuesday,16,10
,wednesday,14,16
,wednesday,14,10
,sunday,12,18
,sunday,17,11
,wednesday,9,14
,wednesday,17,15
,tuesday,15,13
,wednesday,18,10
,tuesday,16,12
,sunday,12,9
,tuesday,15,10
,monday,11,10
,sunday,11,14
,thursday,12,19
,thursday,10,10
,thursday,13,9
,sunday,17,21
,monday,13,19
,saturday,20,14
,thursday,10,19
,friday,8,19
,wednesday,10,20
,saturday,15,21
,monday,19,10
,tuesday,10,11
,thursday,14,17
,saturday,16,16
,thursday,16,20
,saturday,15,10
,tuesday,14,20
,wednesday,19,20
,friday,18,11
,monday,17,18
,sunday,20,11
,sunday,14,16
,monday,16,18
,monday,16,17
,saturday,13,10
,tuesday,8,12
,monday,19,14
,friday,17,9
,tuesday,14,13
,wednesday,10,21
,thursday,14,9
,tuesday,9,18
,thursday,13,13
,thursday,13,13
,monday,11,14
,friday,20,17
,saturday,9,11
,wednesday,14,21
,wednesday,12,19
,thursday,18,20
,thursday,20,13
,sunday,10,9
,monday,8,13
,wednesday,19,21
,tuesday,16,16
,wednesday,8,11
,monday,13,17
,saturday,14,11
,friday,10,11
,thursday,10,21
,friday,18,9
,wednesday,11,9
,monday,20,19
,tuesday,9,21
,wednesday,17,12
,saturday,15,15
,saturday,18,13
,tuesday,15,19
,monday,15,21
,wednesday,20,12
,tuesday,10,11
,tuesday,10,12
,saturday,18,20
,wednesday,18,9
,monday,13,15
,thursday,15,18
,friday,16,12
,sunday,8,18
,sunday,11,9
,monday,11,15
,tuesday,17,13
,sunday,10,18
,thursday,17,13
,sunday,10,13
,tuesday,10,11
,tuesday,20,17
,sunday,13,21
,friday,15,9
,friday,17,13
,saturday,16,20
,friday,19,20
,monday,16,19
,wednesday,11,14
,thursday,10,10
,sunday,20,11
,friday,9,9
,saturday,8,18
,monday,17,14
,sunday,17,15
,wednesday,17,15
,sunday,14,16
,friday,17,19
,saturday,10,14
,tuesday,17,17
,wednesday,14,17
,sunday,18,10
,wednesday,16,12
,saturday,19,9
,thursday,8,20
,monday,17,20
,monday,12,20
,tuesday,11,18
,sunday,13,11
,sunday,13,16
,wednesday,10,17
,friday,12,18
,thursday,11,18
,wednesday,16,13
,monday,18,17
,sunday,12,20
,tuesday,17,16
,monday,14,17
,wednesday,11,10
,tuesday,18,12
,tuesday,13,10
,saturday,10,19
,tuesday,14,17
,monday,8,17
,monday,18,15
,monday,15,14
,monday,14,21
,saturday,10,20
,tuesday,12,20
,friday,12,14
,friday,10,11
,friday,10,15
,thursday,13,14
,tuesday,19,14
,friday,13,12
,wednesday,15,18
,wednesday,13,10
,saturday,10,17
,tuesday,19,12
,saturday,14,11
,wednesday,10,12
,thursday,19,9
,sunday,17,16
,wednesday,10,17
,wednesday,9,19
,sunday,13,21
,thursday,17,13
,saturday,13,20
,friday,10,9
,monday,14,16
,friday,20,21
,sunday,13,13
,friday,10,16
,thursday,11,18
,thursday,8,11
,thursday,16,21
,monday,8,10
,wednesday,9,19
,wednesday,17,11
,friday,19,21
,monday,17,15
,wednesday,16,11
,friday,18,17
,friday,14,18
,thursday,12,16
,thursday,11,14
,thursday,11,19
,tuesday,17,19
,monday,14,21
,sunday,17,19
,thursday,19,10
,saturday,8,16
,monday,12,17
,tuesday,12,21
,wednesday,14,14
,friday,20,11
,saturday,11,19
,saturday,15,14
,saturday,17,14
,friday,9,9
,wednesday,17,11
,friday,12,18
,wednesday,17,9
,thursday,15,17
,tuesday,16,15
,friday,13,11
,friday,17,18
,monday,15,21
,tuesday,18,10
,wednesday,15,20
,sunday,8,10
,saturday,17,9
,saturday,11,20
,saturday,12,17
,tuesday,11,19
,thursday,16,15
,thursday,8,19
,friday,14,20
,sunday,17,20
,friday,14,16
,monday,13,14
,wednesday,13,15
,wednesday,11,14
,tuesday,11,9
,sunday,12,18
,saturday,17,15
,friday,19,19
,tuesday,9,17
,tuesday,16,21
,tuesday,17,18
,friday,11,18
,wednesday,8,9
,friday,9,14
,friday,13,21
,saturday,20,11
,friday,11,12
,thursday,10,18
,saturday,12,20
,friday,15,9
,monday,17,14
,saturday,9,12
,tuesday,10,18
,tuesday,11,17
,sunday,13,9
,saturday,8,14
,wednesday,16,17
,sunday,16,19
,friday,15,18
,wednesday,15,11
,wednesday,20,17
,wednesday,12,11
,monday,14,19
,sunday,20,10
,saturday,9,10
,thursday,16,13
,wednesday,15,9
,saturday,14,19
,wednesday,16,10
,sunday,9,15
,tuesday,20,19
,monday,9,19
,sunday,11,12
,tuesday,18,18
,wednesday,10,21
,wednesday,14,16
,monday,8,11
,thursday,18,17
,sunday,16,17
,wednesday,9,11
,sunday,17,10
,sunday,10,21
,tuesday,8,17
,wednesday,10,15
,thursday,13,14
,saturday,13,17
,friday,18,10
,saturday,12,16
,friday,12,9
,thursday,20,20
,thursday,19,13
,thursday,10,21
,saturday,8,21
,tuesday,19,10
,thursday,14,9
,wednesday,14,13
,friday,20,20
,friday,8,12
,friday,13,19
,tuesday,11,21
,friday,18,11
,saturday,10,14
,saturday,16,17
,tuesday,10,12
,friday,17,14
,tuesday,8,12
,tuesday,16,19
,sunday,13,17
,sunday,17,19
,saturday,17,21
,tuesday,18,21
,monday,20,15
,sunday,17,21
,saturday,15,9
,monday,10,10
,thursday,19,13
,tuesday,13,10
,wednesday,15,11
,sunday,10,20
,monday,10,10
,saturday,13,18
,tuesday,18,11
,tuesday,10,14
,tuesday,8,20
,saturday,12,20
,thursday,10,20
,saturday,9,12
,thursday,20,19
,thursday,15,9
,wednesday,9,10
,tuesday,17,18
,friday,12,20
,wednesday,10,15
,sunday,20,16
,tuesday,9,16
,tuesday,13,13
,saturday,11,14
,monday,16,18
,tuesday,20,18
,friday,19,9
,thursday,14,18
,wednesday,14,9
,thursday,8,20
,thursday,16,9
,wednesday,12,14
,thursday,19,11
,saturday,9,11
,saturday,14,18
,wednesday,10,14
,monday,18,12
,tuesday,18,16
,thursday,19,20
,wednesday,12,14
,saturday,10,11
,friday,10,13
,monday,17,19
,monday,20,15
,monday,18,12
,friday,15,10
,friday,9,17
,sunday,18,12
,tuesday,16,21
,saturday,12,18
,tuesday,16,12
,friday,11,16
,monday,19,15
,friday,16,14
,thursday,15,21
,monday,18,21
,saturday,15,13
,monday,19,15
,tuesday,13,20
,friday,11,18
,monday,10,17
,tuesday,16,17
,tuesday,20,17
,friday,19,19
,sunday,15,18
,thursday,16,13
,wednesday,14,20
,sunday,12,12
,sunday,20,13
,monday,19,16
,thursday,18,12
,monday,18,16
,wednesday,8,10
,wednesday,14,17
,tuesday,8,20
,thursday,20,19
,tuesday,9,12
,thursday,8,12
,wednesday,13,9
,friday,10,21
,friday,10,19
,tuesday,17,11
,monday,12,10
,saturday,10,16
,sunday,11,16
,friday,9,21
,sunday,16,13
,wednesday,9,9
,saturday,10,17
,saturday,8,17
,sunday,10,15
,friday,9,21
,sunday,12,11
,monday,15,15
,friday,16,14
,monday,20,12
,sunday,11,19
,thursday,12,13
,saturday,15,11
,wednesday,14,12
,thursday,12,17
,monday,11,21
,wednesday,16,15
,thursday,17,17
,tuesday,10,10
,thursday,10,17
,tuesday,17,18
,tuesday,13,17
,sunday,16,13
,sunday,10,12
,tuesday,20,17
,tuesday,9,13
,saturday,15,9
,monday,8,19
,thursday,11,12
,monday,10,13
,wednesday,13,19
,wednesday,13,16
,monday,8,19
,sunday,16,17
,tuesday,16,16
,thursday,10,16
,thursday,20,10
,saturday,18,9
,sunday,17,20
,wednesday,9,20
,monday,14,14
,sunday,17,13
,saturday,18,10
,saturday,19,15
,sunday,8,16
,monday,15,11
,thursday,13,19
,monday,11,20
,wednesday,18,13
,tuesday,17,16
,tuesday,18,14
,friday,10,17
,thursday,13,12
,wednesday,11,19
,saturday,8,15
,friday,13,15
,wednesday,10,17
,monday,8,19
,tuesday,19,16
,friday,17,20
,wednesday,17,9
,wednesday,19,16
,saturday,8,20
,sunday,11,20
,wednesday,16,19
,thursday,19,12
,friday,15,9
,thursday,15,19
,sunday,12,13
,friday,10,20
,wednesday,18,18
,thursday,10,17
,wednesday,10,14
,tuesday,9,21
,monday,10,14
,tuesday,12,9
,friday,10,15
,wednesday,11,21
,saturday,14,20
,wednesday,18,15
,tuesday,12,9
,friday,10,17
,sunday,20,15
,monday,12,17
,wednesday,14,12
,friday,14,16
,sunday,17,12
,friday,8,19
,friday,9,12
,sunday,18,9
,friday,15,17
,thursday,12,19
,friday,9,13
,thursday,11,14
,monday,19,19
,saturday,19,15
,friday,12,13
,wednesday,15,18
,sunday,10,11
,monday,9,20
,tuesday,9,21
,thursday,9,19
,monday,13,20
,friday,8,9
,saturday,8,21
,tuesday,12,10
,tuesday,8,16
,thursday,11,21
,saturday,19,19
,tuesday,9,13
,tuesday,17,18
,saturday,11,14
,saturday,19,9
,saturday,13,9
,thursday,14,12
,friday,13,12
,saturday,12,15
,saturday,14,9
,thursday,9,9
,tuesday,12,9
,saturday,14,10
,monday,8,20
,friday,19,9
,saturday,9,19
,sunday,20,18
,tuesday,10,12
,wednesday,16,15
,thursday,16,14
,monday,8,11
,friday,9,19
,saturday,9,20
,sunday,20,19
,wednesday,13,21
,saturday,10,17
,thursday,9,21
,friday,16,19
,saturday,16,9
,saturday,13,13
,saturday,8,20
,tuesday,12,13
,friday,16,14
,friday,11,17
,monday,9,13
,saturday,17,10
,sunday,10,18
,tuesday,17,21
,sunday,12,16
,thursday,15,14
,friday,8,10
,sunday,10,11
,monday,10,18
,monday,9,21
,saturday,18,11
,tuesday,12,21
,monday,8,13
,sunday,9,13
,wednesday,8,19
,sunday,20,12
,monday,10,20
,thursday,14,16
,sunday,14,20
,sunday,17,9
,sunday,10,9
,thursday,16,18
,wednesday,10,16
,thursday,16,14
,wednesday,10,11
,tuesday,12,10
,sunday,16,12
,sunday,19,10
,sunday,12,14
,monday,13,10
,monday,12,17
,thursday,17,13
,thursday,20,12
,tuesday,11,9
,friday,13,13
,monday,14,15
,monday,10,12
,sunday,17,10
,thursday,11,18
,monday,17,14
,tuesday,17,10
,friday,9,17
,tuesday,20,19
,sunday,13,9
,saturday,11,12
,friday,17,19
,sunday,9,9
,sunday,17,19
,thursday,10,20
,wednesday,16,20
,tuesday,16,17
,sunday,18,10
,wednesday,10,17
,monday,15,18
,tuesday,19,16
,friday,11,20
,friday,14,13
,monday,12,12
,thursday,15,15
,friday,20,20
,tuesday,19,21
,saturday,20,19
,friday,8,19
,thursday,15,17
,thursday,13,10
,saturday,17,13
,thursday,20,16
,thursday,18,9
,sunday,15,10
,monday,19,10
,wednesday,8,18
,wednesday,11,17
,thursday,11,11
,friday,11,19
,friday,11,17
,tuesday,14,16
,tuesday,19,12
,thursday,18,19
,monday,20,18
,thursday,14,17
,saturday,12,20
,sunday,10,15
,monday,15,13
,tuesday,20,10
,thursday,20,13
,wednesday,17,18
,saturday,15,19
,thursday,18,21
,friday,17,18
,monday,10,15
,saturday,15,21
,thursday,13,13
,friday,13,11
,wednesday,12,18
,friday,18,17
,saturday,11,19
,wednesday,19,12
,sunday,16,9
,friday,9,15
,sunday,20,20
,thursday,20,9
,thursday,15,18
,saturday,20,20
,tuesday,11,11
,sunday,12,20
,friday,11,10
,saturday,8,20
,monday,11,16
,wednesday,8,19
,monday,13,17
,thursday,8,11
,saturday,20,18
,friday,19,16
,tuesday,10,15
,friday,15,21
,wednesday,18,19
,wednesday,18,12
,thursday,15,12
,wednesday,15,11
,wednesday,12,17
,thursday,14,18
,wednesday,13,11
,friday,11,16
,saturday,12,10
,thursday,8,19
,wednesday,20,21
,tuesday,9,19
,monday,17,13
,sunday,15,13
,wednesday,11,12
,friday,18,11
,thursday,19,15
,monday,16,15
,wednesday,20,10
,tuesday,14,12
,sunday,9,13
,sunday,10,17
,friday,15,17
,sunday,12,13
,wednesday,14,12
,saturday,17,12
,thursday,9,20
,tuesday,8,21
,sunday,17,21
,wednesday,14,19
,tuesday,18,12
,monday,14,19
,saturday,12,19
,saturday,16,17
,saturday,15,16
,thursday,18,11
,wednesday,12,11
,thursday,10,13
,friday,10,15
,monday,20,10
,wednesday,20,14
,friday,16,10
,friday,17,18
,sunday,18,9
,thursday,18,15
,tuesday,11,11
,friday,10,17
,saturday,15,17
,tuesday,10,12
,friday,13,9
,tuesday,17,9
,tuesday,13,11
,thursday,10,18
,monday,20,15
,tuesday,8,19
,friday,9,14
,wednesday,11,15
,thursday,14,10
,friday,15,17
,sunday,13,10
,tuesday,10,15
,thursday,9,13
,friday,10,16
,tuesday,12,14
,tuesday,12,11
,wednesday,16,12
,friday,11,15
,saturday,16,21
,wednesday,19,16
,saturday,19,21
,thursday,15,14
,wednesday,20,12
,saturday,9,15
,friday,11,16
,thursday,8,9
,monday,15,12
,monday,8,12
,sunday,17,12
,friday,19,16
,monday,13,10
,thursday,9,14
,friday,11,20
,sunday,19,21
,sunday,10,11
,thursday,8,13
,tuesday,17,13
,tuesday,8,11
,monday,15,20
,thursday,13,16
,monday,17,17
,sunday,17,18
,monday,15,14
,friday,12,11
,sunday,16,20
,tuesday,17,18
,monday,14,9
,thursday,19,19
,thursday,17,16
,friday,9,18
,sunday,18,9
,saturday,12,14
,friday,15,17
,tuesday,10,9
,wednesday,19,17
,friday,19,16
,wednesday,13,16
,monday,20,20
,thursday,18,13
,tuesday,19,18
,saturday,20,21
,monday,12,11
,monday,17,15
,monday,20,14
,wednesday,18,19
,saturday,17,15
,sunday,10,18
,thursday,13,13
,monday,13,12
,sunday,15,16
,wednesday,12,20
,monday,20,9
,monday,13,20
,tuesday,14,20
,friday,15,17
,sunday,12,13
,friday,20,15
,monday,18,13
,wednesday,8,20
,saturday,16,9
,friday,11,10
,monday,11,9
,wednesday,10,19
,thursday,8,21
,tuesday,18,13
,monday,12,12
,wednesday,19,21
,thursday,13,10
,sunday,12,12
,saturday,18,11
,wednesday,17,13
,friday,8,20
,monday,12,12
,tuesday,15,17
,wednesday,15,20
,friday,11,18
,wednesday,17,21
,tuesday,13,16
,wednesday,13,11
,wednesday,14,18
,tuesday,18,21
,thursday,9,11
,thursday,8,19
,sunday,18,10
,thursday,9,12
,thursday,12,13
,friday,13,19
,wednesday,18,18
,tuesday,14,11
,tuesday,12,9
,thursday,10,14
,wednesday,12,13
,saturday,20,11
,sunday,11,20
,tuesday,16,13
,monday,19,21
,wednesday,12,9
,tuesday,19,15
,saturday,17,18
,wednesday,11,10
,friday,10,11
,thursday,15,9
,saturday,10,18
,wednesday,8,20
,tuesday,20,16
,thursday,12,18
,sunday,11,15
,saturday,17,21
,tuesday,13,11
,tuesday,16,15
,wednesday,10,19
,thursday,9,20
,monday,20,21
,saturday,20,9
,friday,8,16
,sunday,17,21
,wednesday,20,11
,tuesday,8,20
,monday,9,10
,tuesday,18,9
,saturday,16,19
,sunday,17,18
,friday,8,13
,wednesday,9,12
,tuesday,13,20
,saturday,18,15
,sunday,19,15
,thursday,11,11
,thursday,17,18
,thursday,16,19
,saturday,20,9
,monday,12,18
,thursday,17,16
,wednesday,9,19
,saturday,13,21
,monday,16,13
,friday,12,18
,saturday,12,14
,sunday,9,18
,sunday,10,21
,thursday,19,17
,sunday,20,10
,saturday,11,15
,friday,17,21
,saturday,17,21
,friday,16,14
,monday,15,19
,saturday,10,12
,sunday,17,14
,monday,11,17
,wednesday,19,21
,monday,9,20
,saturday,12,20
,thursday,14,14
,sunday,11,18
,saturday,15,12
,monday,8,19
,sunday,8,10
,monday,15,19
,monday,12,14
,sunday,16,11
,monday,13,14
,monday,18,11
,friday,11,16
,wednesday,10,15
,wednesday,9,15
,wednesday,9,20
,friday,10,21
,friday,16,16
,tuesday,18,11
,wednesday,16,10
,saturday,14,21
,tuesday,8,19
,friday,13,21
,sunday,16,11
,friday,15,11
,saturday,15,18
,wednesday,11,15
,saturday,10,15
,friday,13,12
,wednesday,15,21
,sunday,17,15
,sunday,14,15
,wednesday,8,9
,thursday,19,21
,monday,10,10
,tuesday,12,16
,wednesday,14,17
,tuesday,18,19
,monday,19,15
,monday,13,10
,monday,15,10
,sunday,19,12
,wednesday,9,19
,sunday,10,13
,saturday,11,13
,monday,10,14
,thursday,12,21
,sunday,12,16
,sunday,16,14
,friday,15,17
,tuesday,18,10
,thursday,20,16
,tuesday,15,21
,sunday,18,9
,monday,20,17
,monday,20,13
,friday,14,16
,monday,11,18
,thursday,16,16
,saturday,10,18
,sunday,13,17
,saturday,20,14
,wednesday,8,15
,tuesday,17,12
,saturday,13,16
,sunday,14,10
,tuesday,19,12
,sunday,13,9
,sunday,14,18
,monday,12,17
,friday,20,19
,saturday,15,19
,thursday,18,21
,tuesday,11,12
,saturday,17,17
,friday,17,20
,friday,16,12
,sunday,17,14
,friday,18,17
,monday,16,19
,tuesday,15,15
,saturday,11,19
,tuesday,11,18
,friday,14,16
,wednesday,16,15
,saturday,12,11
,friday,16,15
,tuesday,8,13
,tuesday,10,18
,friday,19,21
,saturday,17,19
,friday,12,20
,monday,19,16
,saturday,19,19
,monday,13,21
,friday,15,9
,saturday,17,14
,tuesday,12,14
,tuesday,13,13
,tuesday,19,18
,monday,14,10
,monday,17,13
,wednesday,13,18
,sunday,18,11
,sunday,9,19
,friday,12,18
,wednesday,16,19
,thursday,10,9
,wednesday,10,19
,monday,11,9
,friday,10,10
,sunday,14,17
,monday,14,15
,monday,13,19
,tuesday,10,10
,saturday,19,19
,thursday,11,16
,wednesday,14,14
,monday,13,16
,sunday,17,18
,saturday,8,10
,wednesday,10,19
,thursday,14,9
,sunday,11,21
,sunday,18,14
,saturday,20,17
,sunday,13,11
,thursday,12,11
,thursday,17,15
,monday,10,18
,wednesday,14,9
,monday,20,13
,friday,13,16
,tuesday,16,18
,friday,14,11
,thursday,9,18
,tuesday,13,16
,monday,8,17
,thursday,17,19
,wednesday,10,18
,tuesday,17,19
,sunday,13,15
,thursday,13,19
,tuesday,19,11
,saturday,17,15
,friday,18,12
,thursday,17,11
,wednesday,20,21
,tuesday,15,15
,sunday,14,19
,friday,15,10
,friday,18,12
,tuesday,15,21
,sunday,14,12
,wednesday,18,10
,sunday,19,17
,friday,17,21
,monday,16,12
,tuesday,19,12
,wednesday,8,13
,tuesday,17,10
,thursday,12,20
,friday,16,19
,saturday,11,13
,friday,19,17
,sunday,19,18
,monday,11,20
,wednesday,9,17
,sunday,16,20
,saturday,9,17
,friday,20,17
,wednesday,15,13
,sunday,13,21
,tuesday,10,20
,friday,19,13
,sunday,14,21
,tuesday,15,9
,monday,11,12
,wednesday,16,19
,saturday,17,11
,saturday,16,9
,sunday,15,19
,saturday,18,17
,monday,9,20
,wednesday,12,20
,monday,19,21
,friday,12,20
,sunday,20,19
,saturday,19,18
,wednesday,16,15
,sunday,11,13
,wednesday,13,17
,monday,15,16
,sunday,17,16
,sunday,10,13
,thursday,15,11
,tuesday,10,12
,wednesday,18,9
,sunday,14,9
,thursday,18,10
,tuesday,11,9
,wednesday,17,15
,saturday,13,12
,saturday,10,12
,tuesday,10,16
,saturday,9,11
,tuesday,18,13
,saturday,17,12
,monday,14,16
,saturday,8,10
,sunday,14,14
,thursday,11,13
,monday,16,17
,monday,15,15
,monday,17,18
,friday,10,15
,tuesday,12,16
,saturday,19,10
,wednesday,18,21
,tuesday,12,18
,monday,11,9
,saturday,18,19
,tuesday,17,14
,friday,20,13
,sunday,14,19
,monday,17,21
,monday,15,14
,thursday,11,17
,monday,14,13
,wednesday,14,16
,thursday,9,13
,sunday,12,21
,friday,20,18
,tuesday,20,19
,monday,13,18
,friday,15,12
,saturday,14,21
,monday,12,11
,friday,19,11
,monday,13,15
,thursday,12,10
,tuesday,19,21
,monday,8,19
,wednesday,11,16
,thursday,8,19
,friday,20,13
,monday,10,11
,monday,9,14
,thursday,19,14
,friday,16,17
,tuesday,12,9
,thursday,20,20
,monday,11,12
,sunday,15,9
,sunday,19,16
,friday,13,20
,thursday,8,9
,sunday,20,20
,thursday,11,13
,thursday,17,13
,wednesday,18,12
,monday,12,16
,saturday,11,17
,friday,11,17
,thursday,10,11
,tuesday,10,18
,friday,9,18
,wednesday,19,14
,thursday,11,15
,saturday,20,16
,friday,17,10
,monday,11,14
,saturday,13,21
,monday,13,10
,monday,11,18
,thursday,20,13
,tuesday,20,10
,saturday,18,9
,tuesday,19,19
,wednesday,8,17
,thursday,12,13
,sunday,13,19
,tuesday,10,15
,monday,12,17
,monday,14,18
,tuesday,14,13
,wednesday,8,9
,tuesday,12,14
,sunday,18,21
,saturday,15,16
,saturday,11,20
,saturday,14,14
,tuesday,16,17
,monday,9,17
,saturday,14,10
,tuesday,10,10
,thursday,11,18
,saturday,12,9
,friday,11,15
,sunday,11,13
,saturday,17,19
,wednesday,15,18
,tuesday,9,17
,saturday,19,13
,saturday,10,14
,tuesday,15,20
,thursday,10,18
,thursday,11,9
,sunday,10,12
,monday,17,15
,thursday,11,19
,sunday,18,20
,monday,11,16
,sunday,14,17
,thursday,15,19
,friday,20,21
,tuesday,19,11
,saturday,18,10
,wednesday,11,10
,sunday,16,16
,saturday,20,18
,friday,15,12
,saturday,12,18
,tuesday,14,16
,monday,10,14
,tuesday,11,15
,thursday,16,15
,saturday,9,12
,friday,14,16
,monday,8,17
,monday,13,18
,sunday,17,9
,wednesday,14,19
,sunday,13,17
,saturday,12,18
,tuesday,14,21
,monday,19,16
,tuesday,11,9
,saturday,8,21
,monday,8,19
,monday,10,11
,monday,16,17
,friday,9,9
,sunday,10,16
,friday,15,12
,monday,15,19
,wednesday,17,10
,monday,9,17
,sunday,18,10
,wednesday,18,19
,thursday,9,15
,saturday,17,11
,thursday,14,10
,thursday,11,17
,wednesday,14,20
,monday,12,12
,sunday,10,21
,friday,9,20
,sunday,17,20
,sunday,20,18
,monday,15,13
,saturday,9,21
,saturday,20,21
,thursday,14,11
,thursday,15,14
,thursday,10,9
,friday,9,21
,saturday,12,15
,friday,16,12
,sunday,14,16
,friday,10,19
,tuesday,9,17
,saturday,9,18
,friday,11,21
,saturday,16,21
,sunday,17,11
,monday,18,11
,tuesday,12,18
,thursday,16,18
,friday,14,19
,thursday,12,15
,sunday,16,17
,friday,11,12
,wednesday,17,10
,thursday,11,11
,tuesday,15,14
,sunday,10,14
,monday,9,14
,tuesday,11,11
,wednesday,9,9
,tuesday,16,15
,friday,14,21
,friday,11,16
,saturday,11,17
,sunday,15,20
,wednesday,14,18
,monday,18,17
,wednesday,19,16
,wednesday,8,15
,wednesday,10,13
,wednesday,20,11
,thursday,20,18
,wednesday,11,16
,friday,11,21
,saturday,15,9
,saturday,18,17
,monday,20,20
,saturday,20,17
,sunday,13,17
,sunday,10,16
,saturday,10,18
,thursday,8,11
,friday,20,16
,tuesday,15,17
,monday,12,12
,sunday,16,11
,thursday,9,12
,sunday,13,17
,sunday,10,13
,friday,19,12
,friday,11,16
,thursday,19,9
,wednesday,15,13
,thursday,9,11
,thursday,18,14
,thursday,19,18
,monday,8,20
,monday,17,21
,friday,14,14
,friday,20,17
,tuesday,12,19
,saturday,13,11
,thursday,9,10
,thursday,20,9
,saturday,14,14
,friday,11,14
,friday,19,15
,wednesday,17,12
,sunday,12,9
,saturday,18,13
,thursday,12,14
,thursday,20,10
,tuesday,9,20
,saturday,16,17
,friday,15,18
,wednesday,15,19
,thursday,11,9
,wednesday,11,14
,wednesday,17,18
,thursday,9,16
,wednesday,8,15
,wednesday,20,12
,friday,20,19
,tuesday,10,12
,monday,8,18
,wednesday,14,16
,sunday,8,15
,sunday,18,16
,saturday,11,15
,sunday,9,20
,friday,8,19
,wednesday,11,15
,friday,13,12
,monday,20,17
,tuesday,9,20
,thursday,13,10
,friday,19,9
,sunday,8,9
,sunday,16,14
,friday,19,20
,thursday,16,19
,tuesday,12,19
,tuesday,9,18
,sunday,17,10
,saturday,14,19
,tuesday,14,9
,wednesday,12,15
,tuesday,20,19
,sunday,17,11
,friday,19,20
,saturday,13,12
,wednesday,20,17
,saturday,13,21
,friday,9,15
,saturday,11,15
,friday,11,12
,saturday,16,9
,monday,12,15
,saturday,13,18
,tuesday,17,14
,friday,17,18
,monday,17,18
,thursday,18,9
,saturday,8,10
,monday,10,18
,thursday,17,20
,thursday,10,19
,friday,13,19
,tuesday,12,10
,friday,13,9
,monday,12,12
,saturday,17,11
,wednesday,14,9
,monday,12,16
,sunday,8,19
,friday,16,21
,friday,9,21
,saturday,17,21
,saturday,12,12
,tuesday,10,15
,friday,10,12
,sunday,20,13
,thursday,10,12
,monday,10,9
,wednesday,8,11
,wednesday,12,9
,tuesday,11,19
,sunday,15,12
,thursday,9,16
,monday,16,14
,wednesday,10,18
,thursday,13,10
,monday,19,12
,monday,11,15
,monday,19,19
,monday,16,14
,thursday,13,19
,sunday,19,9
,saturday,11,12
,tuesday,13,13
,monday,19,9
,saturday,15,12
,monday,11,20
,wednesday,18,21
,monday,12,17
,monday,18,17
,monday,11,10
,thursday,20,10
,thursday,17,15
,thursday,8,11
,thursday,16,17
,tuesday,12,20
,thursday,19,20
,wednesday,12,19
,thursday,13,11
,monday,20,16
,monday,16,12
,tuesday,12,14
,thursday,15,16
,thursday,18,13
,monday,11,20
,sunday,20,16
,saturday,10,10
,friday,19,21
,tuesday,20,18
,saturday,17,20
,tuesday,18,15
,monday,15,14
,friday,8,12
,saturday,15,18
,wednesday,8,11
,tuesday,17,13
,sunday,8,11
,monday,8,20
,saturday,18,13
,wednesday,19,10
,saturday,20,18
,saturday,20,17
,saturday,17,12
,friday,16,18
,monday,8,12
,tuesday,18,14
,tuesday,19,13
,friday,19,18
,friday,20,21
,wednesday,10,18
,thursday,19,19
,tuesday,13,19
,thursday,16,13
,wednesday,19,15
,sunday,8,15
,saturday,15,12
,thursday,9,13
,friday,18,19
,thursday,10,16
,monday,8,10
,saturday,12,14
,saturday,12,15
,thursday,13,14
,thursday,8,19
,wednesday,19,14
,tuesday,14,20
,sunday,13,17
,sunday,19,10
,saturday,13,13
,friday,16,16
,friday,13,9
,friday,18,12
,friday,17,20
,tuesday,8,14
,tuesday,16,12
,thursday,20,20
,thursday,8,19
,saturday,12,16
,thursday,19,14
,sunday,12,11
,monday,13,13
,thursday,16,10
,friday,13,15
,sunday,18,9
,friday,13,19
,thursday,18,10
,monday,16,18
,monday,12,21
,saturday,20,21
,friday,11,14
,saturday,18,13
,tuesday,19,10
,monday,20,21
,thursday,9,15
,friday,14,15
,monday,15,20
,monday,8,10
,thursday,16,15
,monday,14,11
,sunday,10,9
,thursday,16,11
,wednesday,18,18
,wednesday,11,12
,friday,10,15
,friday,11,13
,saturday,10,18
,sunday,17,19
,thursday,17,12
,monday,8,13
,monday,12,15
,wednesday,19,11
,wednesday,12,21
,friday,15,16
,tuesday,11,13
,wednesday,14,18
,wednesday,14,19
,monday,20,17
,friday,16,12
,saturday,10,11
,sunday,10,14
,tuesday,17,18
,wednesday,13,20
,monday,15,10
,thursday,11,14
,friday,14,14
,monday,15,18
,tuesday,15,19
,friday,10,15
,sunday,14,20
,thursday,20,17
,wednesday,17,10
,saturday,13,21
,thursday,19,13
,tuesday,12,12
,wednesday,10,21
,friday,20,18
,monday,13,15
,monday,16,15
,thursday,15,18
,saturday,11,17
,sunday,11,18
,monday,13,15
,friday,10,15
,wednesday,19,13
,wednesday,17,18
,tuesday,11,18
,friday,18,13
,tuesday,8,20
,thursday,15,15
,saturday,9,19
,saturday,13,21
,thursday,14,19
,friday,18,10
,sunday,18,17
,wednesday,10,12
,monday,19,19
,friday,20,13
,wednesday,9,21
,sunday,13,12
,monday,12,17
,sunday,20,21
,tuesday,12,10
,thursday,19,12
