pid|creator_email|project_name|tag|project_date|day_of_week|start_time|end_time|curr_capacity|goal_capacity|city|state|description,,
"|""""|magna.|et|01/16/2016|friday|8|11|0|5|Pittsburgh|PA|""""",,
"|""""|eu|mauris|03/14/2018|tuesday|20|21|0|25|Huntsville|AL|""""",,
"|""""|lorem","|penatibus|06/12/2016|saturday|19|14|0|25|Lansing|MI|""""",
"|""""|ut","|lorem|01/28/2017|friday|8|22|0|5|Kansas City|KS|""""",
"|""""|sem.|consectetuer","|05/19/2017|monday|16|19|0|5|Nampa|ID|""""",
"|""""|tortor.|diam.|06/27/2018|sunday|18|12|0|25|Tallahassee|FL|""""",,
"|""""|tellus|nec|04/16/2016|friday|17|9|0|50|Montgomery|AL|""""",,
"|""""|purus","|est|07/13/2016|saturday|19|21|0|10|St. Petersburg|FL|""""",
"|""""|lorem|nec|01/11/2016|friday|13|15|0|50|Anchorage|AK|""""",,
"|""""|Aliquam|turpis.|10/21/2017|tuesday|18|21|0|25|Kansas City|KS|""""",,
"|""""|orci.|non","|08/19/2018|saturday|9|9|0|10|San Antonio|TX|""""",
"|""""|Sed|adipiscing|12/16/2017|saturday|10|15|0|25|Nashville|TN|""""",,
"|""""|eget|Suspendisse|03/29/2016|saturday|16|9|0|5|Grand Island|NE|""""",,
"|""""|nibh|egestas.|07/20/2016|saturday|14|14|0|25|Georgia|GA|""""",,
"|""""|neque.|dictum|12/14/2016|friday|16|9|0|5|Toledo|OH|""""",,
"|""""|mauris","|cubilia|05/25/2017|friday|19|21|0|25|Kenosha|WI|""""",
"|""""|sit|orci","|09/11/2016|tuesday|12|21|0|50|Bangor|ME|""""",
"|""""|euismod|Mauris|08/12/2018|friday|18|9|0|5|San Francisco|CA|""""",,
"|""""|auctor|vitae|10/29/2016|sunday|9|9|0|5|Savannah|GA|""""",,
"|""""|Integer|parturient|12/06/2018|monday|17|19|0|50|Green Bay|WI|""""",,
"|""""|lobortis|tincidunt|11/04/2016|monday|8|19|0|25|Pike Creek|DE|""""",,
"|""""|non|velit.|09/24/2018|friday|20|20|0|25|Juneau|AK|""""",,
"|""""|a|orci|09/26/2016|friday|16|22|0|5|Cambridge|MA|""""",,
"|""""|laoreet|Sed|06/06/2016|thursday|19|13|0|50|Phoenix|AZ|""""",,
"|""""|egestas.|turpis|07/08/2016|friday|17|12|0|10|Aurora|CO|""""",,
"|""""|feugiat.|Quisque|11/14/2018|tuesday|10|13|0|25|Portland|OR|""""",,
"|""""|arcu.|ligula|07/13/2018|friday|15|21|0|25|Warren|MI|""""",,
"|""""|nulla.|ornare|05/08/2016|thursday|15|17|0|25|Louisville|KY|""""",,
"|""""|Nulla|vehicula|03/30/2018|monday|9|17|0|5|Boston|MA|""""",,
"|""""|tempor|lacus.|01/03/2016|wednesday|17|20|0|50|Chattanooga|TN|""""",,
"|""""|fermentum|sociis|06/21/2018|sunday|11|9|0|50|Olympia|WA|""""",,
"|""""|magna|Aliquam|03/26/2018|tuesday|17|22|0|50|Mesa|AZ|""""",,
"|""""|Sed|ornare","|04/01/2016|tuesday|19|11|0|50|West Jordan|UT|""""",
"|""""|pede|lacus.|06/16/2017|friday|13|11|0|10|Sioux City|IA|""""",,
"|""""|odio.|non","|12/10/2016|sunday|18|19|0|10|Olathe|KS|""""",
"|""""|commodo|laoreet|12/05/2016|friday|11|10|0|10|Colchester|VT|""""",,
"|""""|scelerisque|amet|09/13/2016|friday|10|21|0|25|Fayetteville|AR|""""",,
"|""""|egestas|erat|01/27/2017|thursday|18|19|0|5|Hattiesburg|MS|""""",,
"|""""|ultrices.|nec|12/13/2018|friday|19|18|0|5|Naperville|IL|""""",,
"|""""|sapien.|libero|02/25/2019|monday|16|11|0|10|Harrisburg|PA|""""",,
"|""""|Nunc|urna|08/19/2018|friday|20|10|0|10|Hattiesburg|MS|""""",,
"|""""|a","|urna.|08/23/2016|thursday|19|16|0|5|Evansville|IN|""""",
"|""""|volutpat|aliquam|02/24/2019|saturday|8|18|0|10|Joliet|IL|""""",,
"|""""|velit.|ligula.|06/12/2018|tuesday|12|10|0|5|Kansas City|MO|""""",,
"|""""|luctus","|at|06/21/2017|thursday|19|20|0|50|Norman|OK|""""",
"|""""|pellentesque|condimentum.|11/30/2018|monday|16|9|0|25|Bear|DE|""""",,
"|""""|amet","|mus.|06/26/2018|sunday|20|11|0|50|Kearney|NE|""""",
"|""""|augue|Duis|10/28/2018|wednesday|15|22|0|10|Great Falls|MT|""""",,
"|""""|Integer|Donec|12/26/2016|saturday|9|9|0|5|Newport News|VA|""""",,
"|""""|congue|inceptos|12/04/2016|tuesday|11|22|0|10|San Antonio|TX|""""",,
"|""""|magnis|metus.|08/01/2017|wednesday|19|19|0|25|Denver|CO|""""",,
"|""""|ac","|Fusce|01/02/2017|thursday|10|18|0|25|Fort Worth|TX|""""",
"|""""|vestibulum","|velit.|01/14/2019|monday|20|17|0|25|Saint Paul|MN|""""",
"|""""|placerat","|neque.|02/07/2019|saturday|10|21|0|50|Norfolk|VA|""""",
"|""""|consequat|Donec|09/19/2017|wednesday|10|10|0|10|Casper|WY|""""",,
"|""""|sociis|molestie|05/19/2018|thursday|9|22|0|25|Tulsa|OK|""""",,
"|""""|metus|ac|11/23/2018|monday|8|10|0|50|Iowa City|IA|""""",,
"|""""|lorem.|luctus|05/21/2018|wednesday|18|10|0|50|Springfield|MA|""""",,
"|""""|diam|sit|04/25/2017|thursday|17|15|0|10|Bozeman|MT|""""",,
"|""""|nec|lorem|05/12/2016|saturday|14|16|0|50|Evansville|IN|""""",,
"|""""|Sed|nec|12/28/2018|wednesday|10|20|0|50|Dover|DE|""""",,
"|""""|aliquet|mattis|06/30/2016|thursday|20|21|0|5|Jonesboro|AR|""""",,
"|""""|mauris|sollicitudin|10/09/2017|monday|17|19|0|25|Salem|OR|""""",,
"|""""|magna|ac|03/09/2016|sunday|16|17|0|50|Bridgeport|CT|""""",,
"|""""|ante","|mauris|11/19/2017|tuesday|17|11|0|5|Essex|VT|""""",
"|""""|massa.|dolor|09/30/2016|tuesday|11|22|0|10|Oklahoma City|OK|""""",,
"|""""|dictum|libero.|03/08/2019|friday|13|18|0|25|Broken Arrow|OK|""""",,
"|""""|non|purus|06/13/2018|tuesday|19|10|0|10|Montpelier|VT|""""",,
"|""""|consectetuer|Quisque|02/19/2018|friday|20|20|0|5|Salt Lake City|UT|""""",,
"|""""|Aliquam|tincidunt|11/19/2018|monday|20|17|0|5|Madison|WI|""""",,
"|""""|mi|at|05/31/2018|tuesday|9|21|0|25|Jefferson City|MO|""""",,
"|""""|nulla|orci","|03/31/2019|tuesday|20|19|0|50|Saint Paul|MN|""""",
"|""""|montes","|Nam|03/18/2017|monday|18|16|0|50|New Orleans|LA|""""",
"|""""|nec","|egestas|05/14/2016|wednesday|15|21|0|25|Aurora|CO|""""",
"|""""|feugiat|nunc|11/06/2017|thursday|19|16|0|25|Provo|UT|""""",,
"|""""|est",|ut,"|03/17/2019|tuesday|13|14|0|50|Topeka|KS|"""""
"|""""|lacus.|in","|03/22/2016|wednesday|16|12|0|25|Oklahoma City|OK|""""",
"|""""|Cras|at|10/09/2016|monday|11|19|0|50|Great Falls|MT|""""",,
"|""""|eleifend|magnis|09/01/2016|sunday|11|19|0|50|Gresham|OR|""""",,
"|""""|dictum|mauris|07/05/2018|friday|18|19|0|10|Anchorage|AK|""""",,
"|""""|dis|mi|07/03/2017|friday|10|22|0|25|Davenport|IA|""""",,
"|""""|sagittis.|mattis|12/24/2018|tuesday|18|11|0|50|Portland|OR|""""",,
"|""""|arcu|Quisque|09/28/2017|friday|20|13|0|50|Norman|OK|""""",,
"|""""|in|facilisis","|11/03/2016|monday|20|11|0|5|Burlington|VT|""""",
"|""""|tempor|ut|12/27/2016|friday|17|14|0|25|Dallas|TX|""""",,
"|""""|torquent|felis|05/28/2018|thursday|14|19|0|10|Butte|MT|""""",,
"|""""|commodo|erat","|07/03/2016|monday|13|20|0|50|Fairbanks|AK|""""",
"|""""|Etiam|aliquet|03/20/2018|saturday|20|14|0|10|Springfield|MA|""""",,
"|""""|netus|vitae|09/16/2018|tuesday|16|12|0|5|Colorado Springs|CO|""""",,
"|""""|imperdiet|euismod|08/22/2018|thursday|11|18|0|5|Laramie|WY|""""",,
"|""""|tellus|Donec|05/01/2017|monday|20|17|0|25|Dallas|TX|""""",,
"|""""|ornare.|et|02/22/2018|friday|13|17|0|10|Norfolk|VA|""""",,
"|""""|nascetur|purus|09/29/2017|thursday|20|16|0|5|Idaho Falls|ID|""""",,
"|""""|fermentum|neque.|10/07/2017|sunday|12|19|0|50|Helena|MT|""""",,
"|""""|Nullam|sociosqu|01/04/2017|tuesday|15|15|0|50|Missoula|MT|""""",,
"|""""|mollis|odio.|07/17/2018|wednesday|11|13|0|50|Jacksonville|FL|""""",,
"|""""|ipsum.|Nunc|02/17/2016|thursday|18|20|0|10|Birmingham|AL|""""",,
"|""""|ante|magna|05/24/2018|tuesday|14|12|0|25|Kaneohe|HI|""""",,
"|""""|adipiscing|enim|12/13/2017|tuesday|12|14|0|5|New Haven|CT|""""",,
"|""""|libero.|scelerisque|10/07/2016|monday|11|10|0|10|Philadelphia|PA|""""",,
"|""""|nulla.|vulputate|09/03/2018|wednesday|12|14|0|25|Hillsboro|OR|""""",,
"|""""|ornare|mi","|11/29/2017|thursday|13|13|0|10|Iowa City|IA|""""",
"|""""|est.|aliquam|07/20/2016|wednesday|18|18|0|10|Boston|MA|""""",,
"|""""|augue|risus.|04/05/2018|saturday|19|10|0|50|Biloxi|MS|""""",,
"|""""|purus|consectetuer|09/15/2018|saturday|20|12|0|5|Naperville|IL|""""",,
"|""""|gravida.|pretium|04/29/2016|monday|11|19|0|50|Seattle|WA|""""",,
"|""""|sapien.|tellus|07/18/2016|sunday|20|22|0|10|Tallahassee|FL|""""",,
"|""""|malesuada|lorem","|05/10/2018|friday|11|10|0|5|Fort Wayne|IN|""""",
"|""""|Integer|mauris|10/17/2018|wednesday|9|20|0|10|College|AK|""""",,
"|""""|ac|mauris|01/21/2019|monday|18|9|0|5|Sterling Heights|MI|""""",,
"|""""|cubilia|eu|02/04/2019|monday|8|15|0|5|Philadelphia|PA|""""",,
"|""""|non|luctus|02/16/2018|friday|10|20|0|25|Erie|PA|""""",,
"|""""|Quisque|vel|05/03/2017|friday|19|20|0|5|Little Rock|AR|""""",,
"|""""|eu|rutrum|02/24/2019|friday|12|21|0|50|Green Bay|WI|""""",,
"|""""|eget|semper|03/12/2018|wednesday|16|10|0|25|Memphis|TN|""""",,
"|""""|Donec|urna.|07/10/2017|tuesday|20|16|0|50|Huntsville|AL|""""",,
"|""""|Donec|interdum|03/03/2017|sunday|13|20|0|50|Newport News|VA|""""",,
"|""""|non","|pellentesque.|01/21/2016|wednesday|15|18|0|50|Detroit|MI|""""",
"|""""|dis|hendrerit|11/02/2017|friday|20|14|0|5|Burlington|VT|""""",,
"|""""|nisl.|nisi.|01/16/2017|friday|14|13|0|10|Tulsa|OK|""""",,
"|""""|pharetra|Phasellus|07/13/2018|thursday|18|19|0|25|Broken Arrow|OK|""""",,
"|""""|id|gravida|02/17/2018|saturday|15|22|0|50|Denver|CO|""""",,
"|""""|at","|primis|11/25/2018|friday|10|11|0|25|Racine|WI|""""",
"|""""|egestas|est.|05/06/2016|wednesday|16|16|0|10|Ketchikan|AK|""""",,
"|""""|at|magna|12/12/2018|tuesday|11|22|0|25|Kansas City|KS|""""",,
"|""""|lectus|tempor|02/18/2016|sunday|9|11|0|50|Chesapeake|VA|""""",,
"|""""|Cras|et|08/31/2016|sunday|9|12|0|50|Fort Smith|AR|""""",,
"|""""|quam|vulputate","|03/21/2016|monday|11|20|0|25|Cleveland|OH|""""",
"|""""|ultrices|vel","|12/03/2017|wednesday|15|14|0|10|Georgia|GA|""""",
"|""""|consectetuer|sodales|05/03/2017|tuesday|18|19|0|5|Denver|CO|""""",,
"|""""|erat.|pede.|03/31/2019|friday|9|20|0|25|Harrisburg|PA|""""",,
"|""""|dolor|Sed|09/17/2018|monday|20|15|0|5|Bloomington|MN|""""",,
"|""""|tristique|egestas|01/28/2016|sunday|17|11|0|5|Columbia|MD|""""",,
"|""""|Ut|dolor|07/29/2017|friday|13|10|0|50|Austin|TX|""""",,
"|""""|vulputate|magna|10/31/2018|sunday|10|18|0|25|Erie|PA|""""",,
"|""""|Cras|nec|05/25/2017|wednesday|14|17|0|25|Kapolei|HI|""""",,
"|""""|Sed|pede|12/12/2018|friday|13|13|0|25|Montgomery|AL|""""",,
"|""""|enim","|nibh|02/11/2019|wednesday|11|14|0|5|Fairbanks|AK|""""",
"|""""|sit|consectetuer|08/17/2018|monday|13|13|0|10|Hattiesburg|MS|""""",,
"|""""|posuere|aliquam|10/24/2018|friday|9|9|0|10|Chesapeake|VA|""""",,
"|""""|urna.|mattis|02/18/2019|wednesday|16|15|0|10|Erie|PA|""""",,
"|""""|Cum|Etiam|04/06/2018|saturday|10|20|0|50|Tuscaloosa|AL|""""",,
"|""""|urna.|metus.|02/02/2016|tuesday|14|20|0|50|Mesa|AZ|""""",,
"|""""|scelerisque","|lacus|03/01/2017|sunday|12|22|0|10|Shreveport|LA|""""",
"|""""|est.|neque|01/20/2016|saturday|11|22|0|25|Iowa City|IA|""""",,
"|""""|arcu|elementum","|12/06/2016|thursday|17|22|0|50|Sacramento|CA|""""",
"|""""|congue","|condimentum|07/28/2018|thursday|17|14|0|10|Kearney|NE|""""",
"|""""|lectus|ipsum|03/11/2019|wednesday|13|22|0|5|Fort Collins|CO|""""",,
"|""""|sed","|egestas|12/02/2018|tuesday|9|19|0|25|Kenosha|WI|""""",
"|""""|magnis|in|01/15/2017|wednesday|11|22|0|10|Racine|WI|""""",,
"|""""|leo","|quis|06/19/2016|thursday|9|16|0|50|Pike Creek|DE|""""",
"|""""|venenatis|velit|10/05/2017|thursday|9|21|0|5|Rockville|MD|""""",,
"|""""|risus.|Duis|09/27/2018|thursday|11|9|0|5|West Valley City|UT|""""",,
"|""""|enim|nascetur|10/02/2017|tuesday|20|13|0|5|Shreveport|LA|""""",,
"|""""|tincidunt|Duis|07/08/2017|wednesday|10|13|0|10|Rochester|MN|""""",,
"|""""|ligula|Proin|01/24/2017|monday|8|14|0|5|Newport News|VA|""""",,
"|""""|Etiam|luctus|01/15/2016|thursday|18|19|0|10|Detroit|MI|""""",,
"|""""|tempus|diam|05/05/2018|sunday|18|9|0|25|Phoenix|AZ|""""",,
"|""""|pretium|facilisis.|01/01/2018|monday|14|20|0|5|Gary|IN|""""",,
"|""""|nec|a","|06/05/2018|friday|15|14|0|50|South Bend|IN|""""",
"|""""|amet|ligula.|04/18/2017|monday|11|11|0|10|Rochester|MN|""""",,
"|""""|velit|odio.|03/18/2017|friday|9|12|0|10|Gulfport|MS|""""",,
"|""""|sed|ut|08/20/2016|wednesday|13|12|0|25|Philadelphia|PA|""""",,
"|""""|Suspendisse|Cras|02/10/2018|thursday|11|22|0|10|Dallas|TX|""""",,
"|""""|cubilia|massa.|07/02/2016|friday|14|11|0|10|Augusta|GA|""""",,
"|""""|vestibulum","|eu|01/17/2018|thursday|14|19|0|25|Independence|MO|""""",
"|""""|diam|et|02/13/2018|thursday|19|18|0|5|Colorado Springs|CO|""""",,
"|""""|purus","|Donec|07/23/2018|tuesday|15|19|0|50|Saint Paul|MN|""""",
"|""""|molestie|tellus.|12/08/2016|sunday|17|9|0|5|Missoula|MT|""""",,
"|""""|nisi.|Duis|12/23/2018|thursday|20|21|0|5|Springfield|MA|""""",,
"|""""|facilisis|Phasellus|04/02/2018|saturday|16|22|0|50|Billings|MT|""""",,
"|""""|a|a","|06/06/2017|tuesday|9|17|0|50|Grand Rapids|MI|""""",
"|""""|dapibus|ullamcorper|07/30/2018|wednesday|10|11|0|10|Sioux City|IA|""""",,
"|""""|rutrum|et|06/02/2017|monday|11|14|0|10|Toledo|OH|""""",,
"|""""|neque|dui","|10/02/2018|monday|17|19|0|10|Virginia Beach|VA|""""",
"|""""|erat|tempor|03/21/2018|thursday|18|13|0|25|Virginia Beach|VA|""""",,
"|""""|commodo|Donec|01/26/2016|wednesday|15|21|0|25|Minneapolis|MN|""""",,
"|""""|non","|Duis|01/19/2017|monday|15|22|0|50|Tampa|FL|""""",
"|""""|fringilla|scelerisque|05/30/2017|tuesday|15|11|0|5|Olathe|KS|""""",,
"|""""|risus|Donec|03/30/2019|tuesday|11|16|0|25|Spokane|WA|""""",,
"|""""|lobortis|ut|05/07/2016|wednesday|17|19|0|10|Juneau|AK|""""",,
"|""""|feugiat.|quam.|12/19/2018|sunday|10|13|0|10|Fayetteville|AR|""""",,
"|""""|dolor.|mollis.|03/03/2018|monday|14|11|0|5|Rock Springs|WY|""""",,
"|""""|turpis|interdum|03/19/2018|sunday|17|10|0|50|Sioux City|IA|""""",,
"|""""|a|vitae|12/26/2016|tuesday|11|11|0|10|Lafayette|LA|""""",,
"|""""|commodo|dolor|04/01/2017|monday|8|17|0|50|Gulfport|MS|""""",,
"|""""|id|et|05/25/2016|friday|15|14|0|25|Olympia|WA|""""",,
"|""""|facilisis|risus|09/16/2016|sunday|10|15|0|25|Los Angeles|CA|""""",,
"|""""|diam|ipsum.|09/20/2017|wednesday|20|17|0|5|Anchorage|AK|""""",,
"|""""|consectetuer|pede.|08/25/2018|thursday|16|11|0|25|Birmingham|AL|""""",,
"|""""|magnis|elit|06/16/2017|wednesday|12|18|0|10|Bowling Green|KY|""""",,
"|""""|Sed|cubilia|01/13/2017|sunday|19|13|0|10|Rochester|MN|""""",,
"|""""|eget","|nunc.|04/19/2018|saturday|10|11|0|50|Springdale|AR|""""",
"|""""|lectus|Praesent|04/16/2018|wednesday|12|17|0|10|West Valley City|UT|""""",,
"|""""|Donec|risus.|07/12/2016|wednesday|10|18|0|10|Springfield|MA|""""",,
"|""""|sed|odio|04/10/2016|tuesday|15|16|0|50|Bellevue|WA|""""",,
"|""""|habitant|tempor|05/08/2017|tuesday|9|18|0|10|Montgomery|AL|""""",,
"|""""|urna.|eu","|11/11/2016|friday|11|9|0|50|Bridgeport|CT|""""",
"|""""|arcu.|mi","|03/26/2018|sunday|8|13|0|10|Denver|CO|""""",
"|""""|sem.|urna.|03/19/2016|monday|18|15|0|25|Jacksonville|FL|""""",,
"|""""|feugiat|elementum|01/19/2017|thursday|13|19|0|10|Carson City|NV|""""",,
"|""""|In|tristique|08/01/2016|sunday|16|13|0|25|Tuscaloosa|AL|""""",,
"|""""|Etiam|orci","|08/26/2016|tuesday|10|10|0|5|Independence|MO|""""",
"|""""|amet|posuere|08/08/2017|saturday|17|12|0|10|Frederick|MD|""""",,
"|""""|ullamcorper|accumsan|11/23/2018|tuesday|17|18|0|25|Idaho Falls|ID|""""",,
"|""""|sit|hendrerit|01/08/2017|monday|9|11|0|10|Denver|CO|""""",,
"|""""|tristique|tortor","|04/07/2016|friday|9|20|0|10|Missoula|MT|""""",
"|""""|vel|adipiscing|08/23/2018|sunday|18|13|0|5|Glendale|AZ|""""",,
"|""""|a|Maecenas|11/06/2016|thursday|17|16|0|10|Laramie|WY|""""",,
"|""""|massa|sed","|07/22/2018|wednesday|20|19|0|5|Metairie|LA|""""",
"|""""|eu|Donec|08/08/2016|sunday|11|13|0|5|Gaithersburg|MD|""""",,
"|""""|facilisis|dolor.|06/12/2018|sunday|19|15|0|5|Idaho Falls|ID|""""",,
"|""""|lorem|pulvinar|06/23/2016|tuesday|17|16|0|50|Topeka|KS|""""",,
"|""""|massa.|non|08/28/2017|thursday|8|18|0|5|Pike Creek|DE|""""",,
"|""""|id|Nulla|08/05/2017|thursday|19|9|0|5|Gillette|WY|""""",,
"|""""|Morbi|vulputate","|01/01/2018|thursday|12|14|0|25|Tulsa|OK|""""",
"|""""|Morbi|dis|01/19/2018|tuesday|13|17|0|5|Aurora|CO|""""",,
"|""""|quis",|dolor,"|02/04/2017|thursday|19|17|0|5|Toledo|OH|"""""
"|""""|aliquet|semper|10/27/2018|wednesday|13|9|0|50|Indianapolis|IN|""""",,
"|""""|nostra",|dolor,"|02/03/2019|monday|19|12|0|25|Kenosha|WI|"""""
"|""""|at|risus.|04/24/2016|sunday|17|18|0|25|Atlanta|GA|""""",,
"|""""|ornare|libero.|08/17/2016|saturday|13|18|0|10|Mesa|AZ|""""",,
"|""""|malesuada|Nulla|01/10/2019|sunday|14|9|0|25|Olathe|KS|""""",,
"|""""|lectus","|egestas.|11/19/2016|wednesday|15|21|0|50|Fort Smith|AR|""""",
"|""""|vulputate",|elit,"|12/25/2018|tuesday|19|13|0|5|Lansing|MI|"""""
"|""""|venenatis|auctor.|09/30/2017|sunday|13|10|0|25|Racine|WI|""""",,
"|""""|libero.|enim|10/30/2016|monday|16|10|0|25|Saint Louis|MO|""""",,
"|""""|euismod|a|11/19/2016|saturday|16|19|0|5|College|AK|""""",,
"|""""|mauris|commodo|06/02/2016|thursday|18|18|0|25|Gulfport|MS|""""",,
"|""""|mi|Nam|05/12/2016|wednesday|11|15|0|50|Tampa|FL|""""",,
"|""""|elit",|lacus,"|03/06/2018|monday|17|19|0|25|Chandler|AZ|"""""
"|""""|tincidunt|a","|04/02/2019|tuesday|16|11|0|25|Jackson|MS|""""",
"|""""|et|commodo|03/03/2016|sunday|17|13|0|10|Georgia|GA|""""",,
"|""""|faucibus|Nunc|03/04/2018|thursday|14|13|0|25|Provo|UT|""""",,
"|""""|Ut|Mauris|02/02/2016|monday|15|22|0|50|Los Angeles|CA|""""",,
"|""""|erat|molestie|12/15/2016|tuesday|11|12|0|25|Provo|UT|""""",,
"|""""|eu|turpis|10/11/2016|friday|18|9|0|50|Cincinnati|OH|""""",,
"|""""|sociis|dolor|01/30/2018|tuesday|8|22|0|5|Huntsville|AL|""""",,
"|""""|arcu.|lectus.|10/10/2017|tuesday|15|12|0|5|Virginia Beach|VA|""""",,
"|""""|ultricies|sed|09/17/2016|monday|15|19|0|25|Little Rock|AR|""""",,
"|""""|ut|Nunc|08/06/2017|thursday|10|10|0|5|Joliet|IL|""""",,
"|""""|Donec|nunc|04/01/2018|thursday|14|22|0|10|Topeka|KS|""""",,
"|""""|massa|risus.|02/27/2018|friday|8|15|0|10|Bellevue|NE|""""",,
"|""""|Nunc|penatibus|09/15/2017|thursday|10|11|0|10|Chattanooga|TN|""""",,
"|""""|nisi|a|04/29/2018|thursday|15|21|0|10|Boston|MA|""""",,
"|""""|eget","|hendrerit|06/29/2018|friday|15|12|0|5|Nashville|TN|""""",
"|""""|euismod|pede.|02/19/2018|sunday|17|16|0|5|Cambridge|MA|""""",,
"|""""|neque|luctus","|02/28/2018|saturday|17|13|0|10|Broken Arrow|OK|""""",
"|""""|nisl.|magna.|04/21/2017|saturday|10|9|0|25|Sioux City|IA|""""",,
"|""""|gravida|libero.|08/26/2018|monday|9|19|0|50|New Haven|CT|""""",,
"|""""|ut|molestie|11/18/2016|sunday|12|21|0|50|Newport News|VA|""""",,
"|""""|Integer|pede|12/11/2016|monday|8|13|0|5|San Francisco|CA|""""",,
"|""""|nisl|posuere|05/22/2018|sunday|16|21|0|50|Pike Creek|DE|""""",,
"|""""|nascetur|massa.|03/13/2017|thursday|11|18|0|10|Huntsville|AL|""""",,
"|""""|pede.|tellus.|07/28/2016|saturday|15|14|0|25|Reno|NV|""""",,
"|""""|Nunc|ante|07/03/2018|sunday|16|14|0|5|Jackson|MS|""""",,
"|""""|eu|metus|03/16/2017|tuesday|20|21|0|50|Portland|ME|""""",,
"|""""|nec|aliquet|08/24/2016|thursday|10|15|0|5|Pittsburgh|PA|""""",,
"|""""|dolor|Cras|03/30/2019|monday|10|19|0|5|Chesapeake|VA|""""",,
"|""""|aliquam|ac|07/12/2018|sunday|17|17|0|5|Nashville|TN|""""",,
"|""""|dolor|feugiat.|02/11/2017|wednesday|14|9|0|50|Portland|OR|""""",,
"|""""|Fusce|dolor.|01/17/2019|wednesday|18|16|0|10|Chandler|AZ|""""",,
"|""""|leo.|tincidunt|11/08/2018|wednesday|9|16|0|25|Henderson|NV|""""",,
"|""""|sapien","|Nam|03/20/2018|saturday|17|22|0|25|Boise|ID|""""",
"|""""|orci.|felis|03/13/2016|monday|14|16|0|25|Saint Louis|MO|""""",,
"|""""|vel|amet|05/28/2018|sunday|19|19|0|25|Idaho Falls|ID|""""",,
"|""""|eget|Vivamus|09/09/2017|monday|10|15|0|25|Salem|OR|""""",,
"|""""|Nullam|eu","|01/22/2018|tuesday|18|15|0|5|New Haven|CT|""""",
"|""""|eu|enim|09/28/2017|wednesday|19|17|0|10|Miami|FL|""""",,
"|""""|Cras|consectetuer|11/21/2017|saturday|19|15|0|10|Newark|DE|""""",,
"|""""|Pellentesque|elit","|12/01/2017|sunday|13|22|0|25|Fairbanks|AK|""""",
"|""""|eu|nibh|02/26/2017|monday|20|15|0|25|Fort Wayne|IN|""""",,
"|""""|ut|sem","|04/27/2018|saturday|19|13|0|25|Knoxville|TN|""""",
"|""""|Suspendisse|tincidunt|04/07/2017|friday|20|13|0|50|Colorado Springs|CO|""""",,
"|""""|faucibus|mus.|06/28/2017|sunday|14|18|0|25|Springdale|AR|""""",,
"|""""|tempus|pellentesque|06/12/2016|wednesday|17|9|0|25|Overland Park|KS|""""",,
"|""""|enim|sed|09/24/2017|saturday|8|21|0|10|Iowa City|IA|""""",,
"|""""|erat","|libero|01/01/2017|tuesday|18|20|0|25|Ketchikan|AK|""""",
"|""""|vel","|et|12/20/2017|monday|9|10|0|10|Fairbanks|AK|""""",
"|""""|taciti|Integer|10/27/2018|tuesday|9|19|0|5|Little Rock|AR|""""",,
"|""""|venenatis|amet|07/23/2018|tuesday|17|9|0|50|Miami|FL|""""",,
"|""""|metus|Proin|10/27/2016|monday|20|11|0|10|Athens|GA|""""",,
"|""""|nisl|cursus|01/12/2017|thursday|9|21|0|5|Chicago|IL|""""",,
"|""""|cursus|quis|12/10/2018|tuesday|20|16|0|10|Jonesboro|AR|""""",,
"|""""|nisi|lobortis","|05/05/2017|wednesday|9|22|0|5|Bear|DE|""""",
"|""""|Curabitur|metus|09/30/2016|sunday|11|11|0|10|Georgia|GA|""""",,
"|""""|Sed|risus|10/14/2017|saturday|18|16|0|50|Pittsburgh|PA|""""",,
"|""""|rhoncus.|ipsum.|05/31/2016|tuesday|13|22|0|50|West Valley City|UT|""""",,
"|""""|euismod|laoreet|05/02/2017|thursday|8|16|0|5|Tallahassee|FL|""""",,
"|""""|scelerisque|id","|01/23/2018|monday|9|21|0|10|Houston|TX|""""",
"|""""|consectetuer","|vitae|04/13/2016|saturday|12|16|0|5|Georgia|GA|""""",
"|""""|elit","|convallis|03/26/2017|friday|14|11|0|25|Cincinnati|OH|""""",
"|""""|arcu|Nunc|01/11/2018|wednesday|10|17|0|10|Missoula|MT|""""",,
"|""""|risus|non","|06/06/2018|wednesday|13|17|0|5|Cincinnati|OH|""""",
"|""""|Donec|Sed|08/09/2018|sunday|12|14|0|5|Gulfport|MS|""""",,
"|""""|risus.|Quisque|02/16/2017|thursday|18|13|0|25|Erie|PA|""""",,
"|""""|amet","|Fusce|09/29/2016|tuesday|10|16|0|5|Burlington|VT|""""",
"|""""|commodo|feugiat|07/09/2017|sunday|10|18|0|25|Knoxville|TN|""""",,
"|""""|elementum|tincidunt|01/30/2019|saturday|14|11|0|5|Phoenix|AZ|""""",,
"|""""|dui","|Vivamus|02/22/2016|saturday|18|15|0|50|South Portland|ME|""""",
"|""""|et|mi|12/05/2018|wednesday|20|18|0|10|San Antonio|TX|""""",,
"|""""|euismod|ultrices|03/31/2018|friday|15|15|0|50|Los Angeles|CA|""""",,
"|""""|ultricies|nascetur|03/27/2019|friday|9|16|0|25|Aurora|CO|""""",,
"|""""|ipsum|sit|04/21/2018|friday|11|19|0|50|Helena|MT|""""",,
